Component 1,CAS-RN 1,Component 2,CAS-RN 2,Liquid Fraction 1 (mol/mol),Temperature (°C),Liquid Fraction 2 (mol/mol),Pressure EXP (bar),SMILES 1,SMILES 2
co2,124-38-9,DMF,68-12-2,0.8626999999999999,21,0.1373000000000001,50.4,C(=O)=O,CN(C)C=O
co2,124-38-9,DMF,68-12-2,0.8823000000000001,21,0.11769999999999992,51.3,C(=O)=O,CN(C)C=O
co2,124-38-9,DMF,68-12-2,0.4,40,0.6,40.1,C(=O)=O,CN(C)C=O
co2,124-38-9,DMF,68-12-2,0.599,40,0.401,57.8,C(=O)=O,CN(C)C=O
co2,124-38-9,DMF,68-12-2,0.711,40,0.28900000000000003,70.6,C(=O)=O,CN(C)C=O
co2,124-38-9,DMF,68-12-2,0.821,40,0.17900000000000005,77.6,C(=O)=O,CN(C)C=O
co2,124-38-9,DMF,68-12-2,0.892,40,0.10799999999999998,80.6,C(=O)=O,CN(C)C=O
co2,124-38-9,DMF,68-12-2,0.96,40,0.040000000000000036,82.8,C(=O)=O,CN(C)C=O
co2,124-38-9,DMF,68-12-2,0.98,40,0.020000000000000018,85.5,C(=O)=O,CN(C)C=O
co2,124-38-9,DMF,68-12-2,0.4,50,0.6,48.8,C(=O)=O,CN(C)C=O
co2,124-38-9,DMF,68-12-2,0.599,50,0.401,71.1,C(=O)=O,CN(C)C=O
co2,124-38-9,DMF,68-12-2,0.711,50,0.28900000000000003,87.1,C(=O)=O,CN(C)C=O
co2,124-38-9,DMF,68-12-2,0.821,50,0.17900000000000005,99.8,C(=O)=O,CN(C)C=O
co2,124-38-9,DMF,68-12-2,0.892,50,0.10799999999999998,103.6,C(=O)=O,CN(C)C=O
co2,124-38-9,DMF,68-12-2,0.96,50,0.040000000000000036,104.2,C(=O)=O,CN(C)C=O
co2,124-38-9,DMF,68-12-2,0.98,50,0.020000000000000018,108.2,C(=O)=O,CN(C)C=O
co2,124-38-9,chloroform,67-66-3,0.4673,30,0.5327,34.77,C(=O)=O,C(Cl)(Cl)Cl
co2,124-38-9,chloroform,67-66-3,0.6614,30,0.3386,46.29,C(=O)=O,C(Cl)(Cl)Cl
co2,124-38-9,chloroform,67-66-3,0.8354,30,0.16459999999999997,56.63,C(=O)=O,C(Cl)(Cl)Cl
co2,124-38-9,chloroform,67-66-3,0.9362999999999999,30,0.06370000000000009,65.25,C(=O)=O,C(Cl)(Cl)Cl
co2,124-38-9,chloroform,67-66-3,0.9508,30,0.04920000000000002,66.7,C(=O)=O,C(Cl)(Cl)Cl
co2,124-38-9,chloroform,67-66-3,0.23800000000000002,40,0.762,22.71,C(=O)=O,C(Cl)(Cl)Cl
co2,124-38-9,chloroform,67-66-3,0.33590000000000003,40,0.6640999999999999,30.91,C(=O)=O,C(Cl)(Cl)Cl
co2,124-38-9,chloroform,67-66-3,0.46299999999999997,40,0.537,40.91,C(=O)=O,C(Cl)(Cl)Cl
co2,124-38-9,chloroform,67-66-3,0.5684,40,0.4316,48.63,C(=O)=O,C(Cl)(Cl)Cl
co2,124-38-9,chloroform,67-66-3,0.6713,40,0.3287,55.94,C(=O)=O,C(Cl)(Cl)Cl
co2,124-38-9,chloroform,67-66-3,0.7526,40,0.24739999999999995,61.73,C(=O)=O,C(Cl)(Cl)Cl
co2,124-38-9,chloroform,67-66-3,0.8373,40,0.16269999999999996,70.29,C(=O)=O,C(Cl)(Cl)Cl
co2,124-38-9,chloroform,67-66-3,0.8906999999999999,40,0.10930000000000006,75.25,C(=O)=O,C(Cl)(Cl)Cl
co2,124-38-9,chloroform,67-66-3,0.9442,40,0.05579999999999996,78.55,C(=O)=O,C(Cl)(Cl)Cl
co2,124-38-9,chloroform,67-66-3,0.1001,50,0.8999,11.81,C(=O)=O,C(Cl)(Cl)Cl
co2,124-38-9,chloroform,67-66-3,0.1636,50,0.8364,17.61,C(=O)=O,C(Cl)(Cl)Cl
co2,124-38-9,chloroform,67-66-3,0.2391,50,0.7609,26.16,C(=O)=O,C(Cl)(Cl)Cl
co2,124-38-9,chloroform,67-66-3,0.5540999999999999,50,0.4459000000000001,55.25,C(=O)=O,C(Cl)(Cl)Cl
